project,revision_num,cr_smell_lack_of_cr,cr_smell_ping_pong,cr_smell_sleeping_reviews,cr_smell_missing_context,cr_smell_large_changesets,cr_smell_review_buddies,at_least_one_cr_smell,is_increased
couchbase-java-client,43904,0,0,0,0,1,0,1,0
couchbase-java-client,44015,0,1,1,1,1,0,1,1
couchbase-java-client,44141,0,0,0,0,0,0,0,0
couchbase-java-client,44186,0,0,0,0,0,1,1,0
couchbase-java-client,44242,0,0,0,0,0,0,0,0
couchbase-java-client,44380,0,0,0,0,0,0,0,0
couchbase-java-client,44381,0,0,0,0,0,0,0,0
couchbase-java-client,44474,0,0,0,0,0,0,0,0
couchbase-java-client,44520,0,1,0,0,1,1,1,0
couchbase-java-client,44522,0,0,0,0,0,0,0,0
couchbase-java-client,44525,0,0,0,0,0,1,1,0
couchbase-java-client,44574,0,0,0,0,0,1,1,0
couchbase-java-client,44595,0,1,0,0,1,1,1,0
couchbase-java-client,44642,0,0,1,0,0,1,1,0
couchbase-java-client,44699,0,0,0,0,0,0,0,0
couchbase-java-client,44700,0,0,0,0,0,0,0,0
couchbase-java-client,44701,0,0,0,0,0,0,0,0
couchbase-java-client,44702,0,0,0,0,0,0,0,0
couchbase-java-client,44703,0,0,0,0,0,0,0,0
couchbase-java-client,44704,0,0,0,0,0,0,0,0
couchbase-java-client,44705,0,0,0,0,0,0,0,0
couchbase-java-client,44706,0,0,0,0,0,0,0,0
couchbase-java-client,44896,0,0,0,0,0,0,0,0
couchbase-java-client,44900,0,0,0,0,0,0,0,0
couchbase-java-client,44902,0,0,0,0,0,0,0,0
couchbase-java-client,44920,0,0,0,0,0,1,1,0
couchbase-java-client,44921,0,0,0,0,0,1,1,0
couchbase-java-client,44922,0,0,0,0,0,1,1,0
couchbase-java-client,45000,0,0,0,0,1,1,1,0
couchbase-java-client,45021,0,0,0,0,0,0,0,0
couchbase-java-client,45025,0,0,0,0,0,0,0,0
couchbase-java-client,45078,0,0,0,0,0,1,1,0
couchbase-java-client,45091,0,1,1,0,1,1,1,0
couchbase-java-client,45142,0,1,1,0,0,1,1,0
couchbase-java-client,45205,0,0,0,0,0,1,1,0
couchbase-java-client,45214,0,1,1,1,0,0,1,0
couchbase-java-client,45269,0,0,0,0,0,0,0,0
couchbase-java-client,45276,0,0,0,0,0,1,1,0
couchbase-java-client,45310,0,0,0,0,0,0,0,0
couchbase-java-client,45428,0,0,0,0,0,0,0,0
couchbase-java-client,45437,0,0,0,0,0,1,1,0
couchbase-java-client,45438,0,0,0,0,0,0,0,0
couchbase-java-client,45439,0,0,0,0,0,1,1,0
couchbase-java-client,45442,0,0,0,0,0,0,0,0
couchbase-java-client,45443,0,0,0,0,0,1,1,0
couchbase-java-client,45447,0,0,0,0,0,0,0,0
couchbase-java-client,45450,0,1,0,1,0,1,1,1
couchbase-java-client,45557,0,0,0,0,0,0,0,0
couchbase-java-client,45569,0,0,0,0,0,0,0,0
couchbase-java-client,45572,0,0,1,0,0,0,1,0
couchbase-java-client,45860,0,1,0,0,0,1,1,0
couchbase-java-client,45868,0,0,0,0,0,1,1,0
couchbase-java-client,45874,0,0,0,0,1,0,1,0
couchbase-java-client,45926,0,0,0,0,0,0,0,0
couchbase-java-client,45928,0,0,0,1,0,0,1,0
couchbase-java-client,45929,0,1,0,0,0,1,1,1
couchbase-java-client,45932,0,1,0,1,0,1,1,0
couchbase-java-client,45983,0,0,0,0,0,0,0,0
couchbase-java-client,46030,0,0,0,0,0,0,0,0
couchbase-java-client,46031,0,0,0,1,0,0,1,0
couchbase-java-client,46039,0,0,0,1,0,1,1,0
couchbase-java-client,46075,0,1,0,1,0,0,1,1
couchbase-java-client,46138,0,0,0,0,0,1,1,0
couchbase-java-client,46140,0,0,0,0,0,1,1,0
couchbase-java-client,46224,0,0,0,0,0,0,0,0
couchbase-java-client,46310,0,0,0,0,0,0,0,0
couchbase-java-client,46324,0,0,0,0,0,0,0,0
couchbase-java-client,46580,0,0,0,0,0,0,0,0
couchbase-java-client,46593,0,0,0,0,0,0,0,0
couchbase-java-client,46624,0,0,0,1,0,0,1,0
couchbase-java-client,46679,0,0,0,1,0,0,1,0
couchbase-java-client,46682,0,0,0,0,0,0,0,0
couchbase-java-client,46690,0,0,0,0,0,0,0,0
couchbase-java-client,46692,0,0,0,0,0,1,1,0
couchbase-java-client,46740,0,0,0,0,0,0,0,1
couchbase-java-client,46873,0,0,0,0,0,0,0,0
couchbase-java-client,46934,0,0,0,0,0,1,1,0
couchbase-java-client,46935,0,0,0,0,0,0,0,1
couchbase-java-client,46950,0,1,1,0,0,0,1,0
couchbase-java-client,46951,0,0,0,0,0,0,0,0
couchbase-java-client,47230,0,0,0,0,0,1,1,0
couchbase-java-client,47399,0,1,0,0,0,0,1,0
couchbase-java-client,47946,0,0,0,0,0,1,1,0
couchbase-java-client,48006,0,0,0,0,0,1,1,0
couchbase-java-client,48010,0,0,0,0,0,1,1,1
couchbase-java-client,48165,0,1,0,0,0,0,1,0
couchbase-java-client,48172,0,0,0,1,0,0,1,0
couchbase-java-client,48311,0,0,0,0,0,0,0,0
couchbase-java-client,48373,0,1,1,0,1,1,1,0
couchbase-java-client,48694,0,0,1,1,0,1,1,0
couchbase-java-client,48985,0,0,0,1,0,0,1,0
couchbase-java-client,49020,0,0,0,0,0,0,0,0
couchbase-java-client,49023,0,0,0,0,0,0,0,0
couchbase-java-client,49307,0,0,0,0,0,0,0,0
couchbase-java-client,49377,0,1,1,1,1,0,1,1
couchbase-java-client,49430,0,0,0,1,0,0,1,0
